1342,-1134,1340,-1056
3454,1858.5,3766,1833
3454,1858.5,2682,1668
3454,1858.5,3509.5,2077
1146.5,951.5,1494.5,1684
1146.5,951.5,1125.5,845.5
1146.5,951.5,1129,950
541,-306.5,470.5,-328.5
1251.5,-1295,1234.5,-1297
2243,2560.5,2275,2465
1223.5,-1157,1155,-1168
2370.5,2448.5,2406,2796.5
2370.5,2448.5,2391,2415
2370.5,2448.5,2280.5,2415.5
-910.5,364,-851,350
444.5,2322,448,2306
-16.5,-2248,87,-2307
-16.5,-2248,29,-2141
-16.5,-2248,-443,-2616.5
451.5,403,355,557.5
451.5,403,1125.5,845.5
451.5,403,224.5,213
605,-653.5,683.5,-591
1216.5,-1246,1274,-1251
1216.5,-1246,1155,-1168
1216.5,-1246,1234.5,-1297
678.5,-1896.5,437,-2037
678.5,-1896.5,683.5,-1896.5
678.5,-1896.5,618,-1789
-695,-2845.5,-696,-2790.5
916.5,2338.5,1494.5,1684
916.5,2338.5,448,2306
916.5,2338.5,742,2433.5
167.5,-2246,113.5,-2280.5
167.5,-2246,272,-2155
167.5,-2246,175,-2187.5
1325.5,-1536.5,1300.5,-1558.5
1325.5,-1536.5,1788,-2151.5
1325.5,-1536.5,1234.5,-1297
1494.5,1684,2059.5,2267
2682,1668,2583,1586
2682,1668,2679,2518
-831.5,603,-766.5,612
631.5,-1780.5,618,-1789
105.5,109,45.5,51
105.5,109,-22.5,242.5
105.5,109,224.5,213
410.5,2305.5,448,2306
2228,2474.5,2275,2465
1927,-2152,2102,-2420.5
1927,-2152,1788,-2151.5
1927,-2152,2664.5,-1916
725.5,-949,841,-942
693.5,-1133.5,-259,-1810
693.5,-1133.5,841,-942
693.5,-1133.5,528,-1600.5
618,-1789,517.5,-1652
-399.5,-1891,-259,-1810
1788,-2151.5,1948,-2530.5
-823.5,434,-833.5,435
2807,-1322.5,2792,-1389.5
224.5,213,286,184
1058,-993.5,895.5,-862.5
1058,-993.5,1083.5,-1096.5
1058,-993.5,1255,-1000.5
669.5,-2195.5,942,-2196
-766.5,612,-1015,1299
-766.5,612,-795.5,571
2275,2465,2280.5,2415.5
748,2445.5,742,2433.5
2094.5,-2425,2102,-2420.5
895.5,-862.5,683.5,-591
895.5,-862.5,841,-942
2471,2982.5,2433.5,2896.5
-368,2.5,0,0
-368,2.5,-390.5,115
-368,2.5,-519,33
3080,-2174,2877,-2033.5
1155,-1168,1083.5,-1096.5
2874.5,-2167.5,2877,-2033.5
2664.5,-1916,2401.5,-1733
2664.5,-1916,2877,-2033.5
272,-2155,437,-2037
272,-2155,175,-2187.5
517.5,-1652,437,-2037
517.5,-1652,528,-1600.5
79,-1625,-15.5,-2124.5
801.5,-2977.5,925.5,-2254
918.5,-1512.5,942,-2196
918.5,-1512.5,1083.5,-1096.5
918.5,-1512.5,805,-1590.5
-15.5,-2124.5,29,-2141
-15.5,-2124.5,-63,-2118.5
2059.5,2267,1963.5,3052
2059.5,2267,2280.5,2415.5
-795.5,571,-833.5,435
-795.5,571,-661,656
-401,-2681,87,-2307
-401,-2681,-443,-2616.5
-401,-2681,-537.5,-2758
683.5,-591,517,-376.5
-443,-2616.5,-696,-2790.5
656.5,-1430,574,-1587.5
2583,1586,3424,1043
2583,1586,1965,1498
-696,-2790.5,-756.5,-2812
313.5,-223,206.5,-324
313.5,-223,470.5,-328.5
313.5,-223,241.5,-155
-561,40.5,-832.5,272
-561,40.5,-519,33
-561,40.5,-601,-88
2885.5,-1360.5,2792,-1389.5
1273,-988.5,1255,-1000.5
45.5,51,0,0
45.5,51,81,10.5
678,-2012.5,683.5,-1896.5
-63,-2118.5,-259,-1810
-63,-2118.5,-716,-2076.5
29,-2141,175,-2187.5
2023,-2586.5,1948,-2530.5
2102,-2420.5,2132.5,-2469
-411.5,-3072.5,-77,-2715.5
0,0,241.5,-155
1948,-2530.5,1840.5,-2779.5
683.5,-1896.5,805,-1590.5
742,2433.5,536,2605
3069,2488.5,2473,2502.5
1125.5,845.5,1965,1498
517,-376.5,470.5,-328.5
517,-376.5,608.5,-333
2475.5,3240.5,2414.5,3129.5
-832.5,272,-904.5,233
-832.5,272,-851,350
2433.5,2896.5,2406,2796.5
2433.5,2896.5,2414.5,3129.5
1965,1498,2391,2415
528,-1600.5,574,-1587.5
-833.5,435,-851,350
97,-2276,113.5,-2280.5
2414.5,3129.5,2340,3230.5
-555,-2757.5,-537.5,-2758
2546,2896,2445.5,2779
90.5,-2307.5,87,-2307
90.5,-2307.5,113.5,-2280.5
90.5,-2307.5,-77,-2715.5
805,-1590.5,574,-1587.5
-519,33,-546,-164
2391,2415,2473,2502.5
2792,-1389.5,2401.5,-1733
2401.5,-1733,1340,-1056
2473,2502.5,2445.5,2779
417.5,-2499,925.5,-2254
-537.5,-2758,-688,-2890.5
-77,-2715.5,92,-3141.5
925.5,-2254,942,-2196
241.5,-155,237.5,-21
1340,-1056,1255,-1000.5
2445.5,2779,2406,2796.5
