eliminados,order_lcc,length_lcc,num_cc,a2tr_list
0,50,13123.097998329344,1,1.0
1,49,12552.878523039346,2,0.96
2,25,5904.6427969410615,3,0.47020408163265304
3,24,6443.647725472638,4,0.3673469387755102
4,23,6247.629231447202,5,0.3485714285714286
5,19,5652.464907283466,6,0.28653061224489795
6,18,5312.714192276756,7,0.21306122448979592
7,13,2655.274022550725,8,0.16
8,12,2251.372735105389,9,0.15020408163265306
9,12,2251.372735105389,10,0.14775510204081632
10,12,2251.372735105389,11,0.14285714285714285
11,11,1788.9667987248104,12,0.13387755102040816
12,10,4021.157824822526,13,0.12571428571428572
13,10,4021.157824822526,14,0.12489795918367347
14,10,977.7291639962432,15,0.10775510204081633
15,10,977.7291639962432,16,0.10122448979591837
16,10,977.7291639962432,17,0.09959183673469388
17,10,977.7291639962432,18,0.0946938775510204
18,10,977.7291639962432,19,0.09061224489795919
19,10,977.7291639962432,20,0.08571428571428572
20,10,977.7291639962432,21,0.08081632653061224
21,10,977.7291639962432,22,0.07918367346938776
22,10,977.7291639962432,23,0.07510204081632653
23,10,977.7291639962432,24,0.07428571428571429
24,10,977.7291639962432,25,0.07346938775510205
25,10,977.7291639962432,26,0.06857142857142857
26,10,977.7291639962432,27,0.06693877551020408
27,8,884.8931557353164,28,0.053877551020408164
28,8,1128.1928479757657,29,0.04816326530612245
29,7,679.0922811016064,30,0.03510204081632653
30,7,679.0922811016064,31,0.0326530612244898
31,7,679.0922811016064,32,0.031020408163265307
32,7,679.0922811016064,33,0.029387755102040815
33,7,679.0922811016064,34,0.027755102040816326
34,7,679.0922811016064,35,0.026938775510204082
35,7,679.0922811016064,36,0.024489795918367346
36,7,679.0922811016064,37,0.0236734693877551
37,7,679.0922811016064,38,0.022040816326530613
38,4,227.36079751511892,39,0.012244897959183673
39,4,227.36079751511892,40,0.010612244897959184
40,3,68.04271944486351,41,0.00816326530612245
41,3,68.04271944486351,42,0.007346938775510204
42,3,68.04271944486351,43,0.006530612244897959
43,3,68.04271944486351,44,0.005714285714285714
44,3,68.04271944486351,45,0.004897959183673469
45,2,58.54271944486351,46,0.0032653061224489797
46,2,56.60388679233962,47,0.0024489795918367346
47,2,56.60388679233962,48,0.0016326530612244899
48,2,73.62913825381905,49,0.0008163265306122449
